ダウンロードした時刻：2026/06/28 14:57:52

,軽井沢,軽井沢,軽井沢,軽井沢,軽井沢,軽井沢,軽井沢,軽井沢,軽井沢,軽井沢,軽井沢,軽井沢,軽井沢,軽井沢,軽井沢,軽井沢,軽井沢
年月日時,気温(℃),気温(℃),気温(℃),風速(m/s),風速(m/s),風速(m/s),風速(m/s),風速(m/s),現地気圧(hPa),現地気圧(hPa),現地気圧(hPa),相対湿度(％),相対湿度(％),相対湿度(％),天気,天気,天気
,,,,,,風向,風向,,,,,,,,,,
,,品質情報,均質番号,,品質情報,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2026/4/1 1:00:00,9.5,8,1,1.6,8,西,8,1,893.4,8,1,100,8,1,8,8,1
2026/4/1 2:00:00,9.1,8,1,1.5,8,西南西,8,1,894.4,8,1,100,8,1,8,8,1
2026/4/1 3:00:00,8.9,8,1,1.1,8,西南西,8,1,895.2,8,1,100,8,1,8,8,1
2026/4/1 4:00:00,7.7,8,1,2.2,8,南南西,8,1,895.8,8,1,100,8,1,8,8,1
2026/4/1 5:00:00,5.9,8,1,2.7,8,西南西,8,1,896.5,8,1,100,8,1,8,8,1
2026/4/1 6:00:00,5.9,8,1,2.1,8,南西,8,1,897.0,8,1,100,8,1,8,8,1
2026/4/1 7:00:00,5.8,8,1,1.0,8,南南西,8,1,897.9,8,1,100,8,1,8,8,1
2026/4/1 8:00:00,6.2,8,1,2.2,8,西,8,1,898.0,8,1,100,8,1,4,8,1
2026/4/1 9:00:00,6.8,8,1,1.5,8,西南西,8,1,898.3,8,1,100,8,1,4,8,1
2026/4/1 10:00:00,7.3,8,1,1.3,8,西,8,1,898.7,8,1,100,8,1,4,8,1
2026/4/1 11:00:00,8.4,8,1,1.9,8,南西,8,1,898.9,8,1,99,8,1,4,8,1
2026/4/1 12:00:00,9.3,8,1,1.5,8,北東,8,1,898.0,8,1,96,8,1,4,8,1
2026/4/1 13:00:00,8.8,8,1,2.6,8,東,8,1,897.6,8,1,98,8,1,10,8,1
2026/4/1 14:00:00,8.8,8,1,3.0,8,東北東,8,1,897.0,8,1,100,8,1,10,8,1
2026/4/1 15:00:00,8.8,8,1,1.5,8,東南東,8,1,896.7,8,1,100,8,1,10,8,1
2026/4/1 16:00:00,7.7,8,1,4.1,8,東北東,8,1,896.1,8,1,100,8,1,10,8,1
2026/4/1 17:00:00,6.7,8,1,4.5,8,東北東,8,1,896.1,8,1,100,8,1,10,8,1
2026/4/1 18:00:00,5.9,8,1,5.6,8,東北東,8,1,896.4,8,1,100,8,1,10,8,1
2026/4/1 19:00:00,5.4,8,1,5.1,8,東北東,8,1,896.7,8,1,100,8,1,10,8,1
2026/4/1 20:00:00,5.4,8,1,5.1,8,東北東,8,1,896.4,8,1,100,8,1,10,8,1
2026/4/1 21:00:00,5.3,8,1,4.7,8,東北東,8,1,896.2,8,1,100,8,1,10,8,1
2026/4/1 22:00:00,4.9,8,1,5.6,8,東北東,8,1,895.4,8,1,100,8,1,10,8,1
2026/4/1 23:00:00,4.8,8,1,5.4,8,東北東,8,1,894.0,8,1,100,8,1,10,8,1
2026/4/2 00:00:00,4.7,8,1,3.5,8,北東,8,1,894.4,8,1,100,8,1,10,8,1
2026/4/2 1:00:00,4.6,8,1,3.9,8,東北東,8,1,892.6,8,1,99,8,1,10,8,1
2026/4/2 2:00:00,4.6,8,1,3.9,8,東北東,8,1,891.1,8,1,100,8,1,10,8,1
2026/4/2 3:00:00,4.7,8,1,4.2,8,東北東,8,1,889.2,8,1,100,8,1,10,8,1
2026/4/2 4:00:00,4.9,8,1,3.9,8,東北東,8,1,888.2,8,1,100,8,1,10,8,1
2026/4/2 5:00:00,5.3,8,1,3.7,8,北東,8,1,887.6,8,1,100,8,1,10,8,1
2026/4/2 6:00:00,5.4,8,1,1.5,8,西北西,8,1,888.2,8,1,100,8,1,10,8,1
2026/4/2 7:00:00,5.1,8,1,2.1,8,南西,8,1,888.5,8,1,100,8,1,10,8,1
2026/4/2 8:00:00,4.9,8,1,2.4,8,南西,8,1,888.4,8,1,100,8,1,10,8,1
2026/4/2 9:00:00,5.5,8,1,2.0,8,南西,8,1,889.0,8,1,100,8,1,10,8,1
2026/4/2 10:00:00,5.5,8,1,2.3,8,南,8,1,889.4,8,1,95,8,1,10,8,1
